stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,spm,location_monitoring_station,pm2_5,date
,9/3/2007,West Bengal,Baruipur,,Residential and others,,,6.0,,Port Cannings,,2007-03-09
,4/3/2006,Punjab,Bathinda,,Industrial Areas,9.7,28.8,340.0,,Bathinda Milk Plant,,2006-03-04
,1/6/2005,Karnataka,Belgaum,,Industrial Areas,4.0,9.0,42.0,42.0,Karnataka SPCB,,2005-06-01
,1/2/2006,Odisha,Berhampur,,Residential and others,,,97.0,260.0,Regional Office,,2006-02-01
,2/2/2005,Chhattisgarh,Bhilai Nagar,,Industrial Areas,26.2,29.7,178.0,299.0,M.P.L.U. Nigam,,2005-02-02
,1/4/2005,Odisha,Bhubaneshwar,,Residential and others,,21.0,172.0,261.0,Capital Police Stn.,,2005-04-01
SAMP,05-01-15,Gujarat,Bhuj,Gujarat State Pollution Control Board,RIRUO,13.0,21.0,79.0,,"Amrut Chambers, Baroi Road, Mundra, Kutch,Bhuj",29.0,2015-01-05
159.0,1/2/2004,Tamil Nadu,Chennai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",6.0,12.75,56.33,101.33,"Madras Medical College, Chennai",,2004-02-01
,1/3/2005,Odisha,Cuttack,,Residential and others,,24.7,74.0,200.0,"Badambi, Cuttack",,2005-03-01
SAMP,03-01-15,West Bengal,DANKUNI,West Bengal State Pollution Control Board,RIRUO,10.0,38.0,135.0,,"Rooftop of old Mrigala Gram Panchayet Building,DANKUNI",,2015-01-03
,4/5/2006,Punjab,Dera Bassi,,Industrial Areas,9.7,28.8,,253.0,Bhanakarpur Road,,2006-05-04
,6/5/2006,Madhya Pradesh,Dewas,,Industrial Areas,23.0,8.1,64.0,199.0,EID Perry (I) Ltd.,,2006-05-06
,19/8/2006,Assam,Dibrugarh,,Residential and others,8.8,68.0,11.0,33.0,Dibrugarh Off. Bldg,,2006-08-19
,8/3/2005,West Bengal,Durgapur (WB),,Industrial Areas,46.8,42.6,97.0,188.0,Dew India Ltd,,2005-03-08
139.0,1/3/2004,Uttar Pradesh,Gajraula,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",32.0,14.0,46.0,218.0,"Indira Chowk, J.P. Nagar, Gajraula",,2004-03-01
,23/8/2006,Assam,Golaghat,,Residential and others,8.3,12.1,37.0,73.0,Golaghat Off. Bldg.,,2006-08-23
,1/5/2005,Maharashtra,Greater Mumbai,,Industrial Areas,102.5,75.8,145.0,,Dombivalli MIDC,,2005-05-01
,4/1/2005,Karnataka,Gulbarga,,Residential and others,7.2,23.5,114.0,366.0,Govt. Hospital,,2005-01-04
,12/7/2005,Madhya Pradesh,Gwalior,,Residential and others,14.7,24.6,,407.0,Dindayal Nagar,,2005-07-12
SAMP,03-01-15,West Bengal,HALDIA,West Bengal State Pollution Control Board,RIRUO,13.0,41.0,107.0,,"Rooftop of Ruchi Soya,HALDIA",,2015-01-03
,8/5/2006,Assam,Hailakandi,,Residential and others,5.3,7.3,13.0,23.0,CISF Campus,,2006-05-08
,1/1/2005,Karnataka,Hassan,,Residential and others,5.3,31.4,155.0,258.0,N.R. Circle,,2005-01-01
,1/4/2005,Haryana,Hisar,,Residential and others,,,99.0,251.0,Guru Jambeshwar Uni,,2005-04-01
,1/4/2005,Karnataka,Hubli-Dharwad,,Industrial Areas,,,75.0,112.0,L. Industrial Area,,2005-04-01
,3/3/2006,Uttar Pradesh,Jhansi,,Residential and others,10.7,16.0,69.0,333.0,Jail Chauraha,,2006-03-03
SAMP,03-01-15,West Bengal,Kalyani,West Bengal State Pollution Control Board,RIRUO,2.0,45.0,58.0,,"Rooftop of Kalyani Medical Hospital,Kalyani",,2015-01-03
,1/7/2006,Madhya Pradesh,Khajuraho,,Residential and others,,5.6,64.0,88.0,Near Arch. Museum,,2006-07-01
,6/6/2006,Punjab,Khanna,,Industrial Areas,10.8,22.3,126.0,,Markfed Vanaspati,,2006-06-06
,11/12/2006,Uttar Pradesh,Khurja,,Industrial Areas,45.8,31.0,242.0,572.0,CGCRI,,2006-12-11
,5/5/2005,Kerala,Kochi,,Industrial Areas,,15.7,51.0,91.0,Eloor,,2005-05-05
,6/1/2005,Maharashtra,Kolhapur,,Residential and others,8.0,11.9,,,Mahadwar Road,,2005-01-06
162,1/1/2004,West Bengal,Kolkata,National Environmental Engineering Research Institute,Industrial Area,22.2,104.8,476.0,255.0,"Cossipore Police Station, B.T. Road, Kolkata",,2004-01-01
,1/2/2007,Andhra Pradesh,Kurnool,,Residential and others,4.0,20.8,82.0,164.0,Mourya Inn,,2007-02-01
,10/3/2006,Maharashtra,Lote,,Industrial Areas,10.7,7.8,47.0,79.0,MIDC WTP,,2006-03-10
SAMP,04-01-15,West Bengal,MALDAH,West Bengal State Pollution Control Board,RIRUO,4.0,21.0,104.0,,"Rooftop Maldah Regional Office, WBPCB,MALDAH",,2015-01-04
SAMP,08-01-15,Gujarat,MORBI,Gujarat State Pollution Control Board,RIRUO,13.0,21.0,92.0,,"Eagle sanatory wares, Vill-Jambudiya,MORBI",31.0,2015-01-08
,1/3/2009,Maharashtra,Mahad,,Industrial Areas,11.0,34.2,101.0,133.0,"EHS, Mahad",,2009-03-01
,23-12-05,Karnataka,Mangalore,,Industrial Areas,13.0,35.3,71.0,135.0,Stides Premises,,2005-12-23
,1/10/2007,Uttar Pradesh,Meerut,,Residential and others,11.4,52.2,136.0,776.0,Begum Bridge,,2007-10-01
,1/3/2006,Goa,Mormugao,,Industrial Areas,14.0,14.5,67.0,166.0,Mormugao Port Trust,,2006-03-01
,1/2/2006,Himachal Pradesh,Nahan,,Industrial Areas,,,,,Industrial Area,,2006-02-01
,8/5/2008,Himachal Pradesh,Nalagarh,,Residential and others,,6.3,23.0,112.0,M. C.,,2008-05-08
,6/9/2009,Andhra Pradesh,Nalgonda,,Residential and others,4.6,23.7,99.0,222.0,RO APPCB,,2009-09-06
,15/06/2006,Maharashtra,Navi Mumbai,,Industrial Areas,12.5,19.8,38.0,81.0,MIDC Taloja,,2006-06-15
,17-11-05,Punjab,Naya Nangal,,Residential and others,5.0,11.0,,195.0,NFL Guest House,,2005-11-17
,22/10/2009,Andhra Pradesh,Nellore,,Residential and others,6.1,13.8,118.0,193.0,Venkatareddy Nagar,,2009-10-22
,4/10/2006,Andhra Pradesh,Patancheru,,Residential and others,12.0,18.1,59.0,127.0,Police Station,,2006-10-04
64.0,1/3/2004,Puducherry,Pondicherry,Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",21.0,16.0,41.0,51.0,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",,2004-03-01
,1/3/2005,Chhattisgarh,Raipur,,Industrial Areas,12.2,40.2,42.0,480.0,Wool Worth I.Pvt.Ltd,,2005-03-01
228.0,1/3/2004,Odisha,Rayagada,Odisha State Pollution Control Board,"Residential, Rural and other Areas",2.0,4.5,43.67,57.33,"Regional Office Orissa SPCB, Rayagada",,2004-03-01
7.0,1/1/2004,Uttar Pradesh,Renusagar,Uttar Pradesh State Pollution Control Board,Industrial Area,21.3,36.0,203.0,372.0,"Renusagar Colony, Sonabhadra, Anpara",,2004-01-01
SAMP,08-01-15,Gujarat,SANAND,Gujarat State Pollution Control Board,RIRUO,13.0,22.0,99.0,,"Zydas Infratech-Pharmez matoda GIDC NH-8A, Changodar,SANAND",38.0,2015-01-08
SAMP,03-01-15,West Bengal,SILIGURI,West Bengal State Pollution Control Board,RIRUO,6.0,20.0,97.0,,"Rooftop of Siliguri Industrial Estate Development Association,SILIGURI",,2015-01-03
,10/5/2006,Madhya Pradesh,Sagar,,Residential and others,4.1,6.3,124.0,193.0,Pt. Deendayal Nagar,,2006-05-10
,2/2/2005,Odisha,Sambalpur,,Residential and others,,,40.0,93.0,"PHD Ofice, Sambalpur",,2005-02-02
SAMP,05-01-15,Gujarat,Sarigam,Gujarat State Pollution Control Board,RIRUO,13.0,21.0,95.0,,"Tristar Intermediate, Unit-II, Plot no-3321,GIDC Sarigam,Sarigam",34.0,2015-01-05
,21/8/2006,Assam,Sibsagar,,Residential and others,7.8,8.0,23.0,36.0,Sibasagar Off. Bldg,,2006-08-21
,22/1/2009,Assam,Silchar,,Residential and others,7.0,14.0,62.0,105.0,Office Building RLO,,2009-01-22
,12/6/2007,Dadra & Nagar Haveli,Silvassa,,Industrial Areas,10.4,18.5,106.0,250.0,Khadoli Ind. Area,,2007-06-12
,4/12/2006,Madhya Pradesh,Singrauli,,Residential and others,,,129.0,423.0,Jayant Township,,2006-12-04
,4/3/2006,Maharashtra,Tarapur,,Industrial Areas,,13.5,36.0,356.0,MIDC Office Compound,,2006-03-04
,7/3/2006,Assam,Tezpur,,Residential and others,,,26.0,48.0,Tezpur Office Bldg,,2006-03-07
,8/3/2005,Tamil Nadu,Thoothukudi,,Industrial Areas,17.1,12.3,71.0,80.0,Raja Agencies,,2005-03-08
,11/2/2005,Andhra Pradesh,Tirupati,,Sensitive Areas,4.3,10.3,30.0,59.0,Reg.Science Centre,,2005-02-11
,5/4/2005,Kerala,Trivandrum,,Industrial Areas,22.5,20.3,182.0,195.0,Hi Tech Chackai,,2005-04-05
SAMP,01-01-15,West Bengal,ULUBERIA,West Bengal State Pollution Control Board,RIRUO,14.0,44.0,154.0,,"Inside Rampal Industries,ULUBERIA",,2015-01-01
,31-05-05,Madhya Pradesh,Ujjain,,Residential and others,10.2,10.3,133.0,280.0,Regional Office,,2005-05-31
SAMP,06-01-15,Gujarat,VAPI,Gujarat State Pollution Control Board,RIRUO,12.0,19.0,75.0,,"Yasho Industries Phase-III, GIDC,VAPI",26.0,2015-01-06
50,1/6/2004,Gujarat,Vadodara,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",9.0,16.0,64.67,161.0,"GPCB Office, Geri Vasahat, Vadodara",,2004-06-01
,11/5/2005,Andhra Pradesh,Vijayawada,,Residential and others,6.2,28.3,90.0,179.0,Benz Circle,,2005-05-11
,8/4/2009,Andhra Pradesh,Warangal,,Residential and others,4.0,9.3,36.0,163.0,KUDA Office,,2009-04-08
,1/4/2005,Haryana,Yamunanagar,,Industrial Areas,34.9,26.0,39.0,221.0,Ballarpur Industries,,2005-04-01
193.0,1/2/2004,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",2.0,16.2,173.0,,"Head Office, Bamunimaidan, Guwahati",,2004-02-01
37,1/1/2004,Goa,Vasco,Goa State Pollution Control Board,Industrial Area,2.0,7.9,45.0,108.0,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",,2004-01-01
77.0,1/2/2004,Karnataka,Bangalore,Karnataka State Pollution Control Board,Industrial Area,5.0,58.0,33.5,80.0,"Graphite India, White Field Road, Bangalore",,2004-02-01
120.0,1/6/2004,Meghalaya,Shillong,Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2.4,4.5,62.0,72.0,"Boards Office Permises, Lumpyngngad, Shillong",,2004-06-01
68.0,1/5/2004,Odisha,Talcher,Odisha State Pollution Control Board,Industrial Area,6.6,22.97,125.0,254.0,"T.T.P.S.Colony, Talcher",,2004-05-01
8,1/2/2004,West Bengal,Howrah,West Bengal State Pollution Control Board,Industrial Area,,80.3,362.3,610.7,"Howrah Municipal Corporation, Howrah",,2004-02-01
,25/06/2006,Punjab,Khanna,,Residential and others,13.8,22.8,186.0,,A S School,,2006-06-25
,4/2/2006,Punjab,Amritsar,,Residential and others,12.8,31.7,,284.0,A-1 Platters,,2006-02-04
152.0,1/4/2010,Andhra Pradesh,Hyderabad,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",8.0,34.0,113.0,,"ABIDS Circle General Post Office Building, Hyderabad",,2010-04-01
,8/2/2005,Himachal Pradesh,Parwanoo,,Industrial Areas,6.0,46.0,,51.0,AC Office Bldg.,,2005-02-08
,5/11/2008,Himachal Pradesh,Baddi,,Industrial Areas,,7.2,35.0,177.0,AHC,,2008-11-05
,1/5/2005,Karnataka,Bangalore,,Industrial Areas,6.3,44.0,116.0,193.0,AMCO Batteries,,2005-05-01
78.0,1/1/2004,Karnataka,Bangalore,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",8.0,46.0,91.33,200.0,"AMCO Batteries, Mysore Road, Bangalore",,2004-01-01
,8/2/2005,Tamil Nadu,Thoothukudi,,Residential and others,20.4,16.3,79.0,126.0,AVM Jewellery Bldg.,,2005-02-08
,30-07-05,Gujarat,Ahmedabad,,Residential and others,13.0,28.5,91.0,219.0,"AZL, Behrampura",,2005-07-30
,14/11/2006,Uttar Pradesh,Khurja,,Residential and others,,,,,Ahirpara,,2006-11-14
,19/06/2006,Maharashtra,Navi Mumbai,,Residential and others,5.0,26.9,44.0,167.0,Airoli,,2006-06-19
,12/8/2007,Daman & Diu,Daman,,Residential and others,9.1,16.2,70.0,166.0,Airport Road,,2007-08-12
,1/4/2005,Rajasthan,Jaipur,,Residential and others,6.4,41.7,120.0,179.0,Ajmeri Gate,,2005-04-01
296.0,1/2/2004,Rajasthan,Jaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",7.0,43.0,137.0,267.0,"Ajmeri Gate,Jaipur",,2004-02-01
,8/4/2005,Jharkhand,Ranchi,,Residential and others,20.5,32.5,49.0,143.0,Albert Ekka Chowk,,2005-04-08
,1/3/2005,Rajasthan,Udaipur,,Residential and others,5.7,34.0,,237.0,Ambamata,,2005-03-01
,1/3/2005,Uttar Pradesh,Lucknow,,Residential and others,19.0,37.0,272.0,541.0,Aminabad,,2005-03-01
,4/2/2008,Karnataka,Bangalore,,Residential and others,14.6,40.1,73.0,221.0,Anand Rao Circle,,2008-02-04
79.0,1/1/2004,Karnataka,Bangalore,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",9.0,47.0,61.67,124.0,"Ananda Rao Circle, Bangalore",,2004-01-01
,1/4/2005,Uttar Pradesh,Anpara,,Industrial Areas,19.3,33.8,166.0,361.0,Anpara Colony,,2005-04-01
6.0,1/3/2004,Uttar Pradesh,Anpara,Uttar Pradesh State Pollution Control Board,Industrial Area,21.9,37.9,221.0,333.0,"Anpara Colony, Sonabhadra, Anpara",,2004-03-01
,5/2/2005,Madhya Pradesh,Bhopal,,Residential and others,,19.0,55.0,195.0,Arera Colony,,2005-02-05
,1/5/2005,West Bengal,Asansol,,Industrial Areas,4.7,65.6,213.0,400.0,Asansol M.C.,,2005-05-01
,1/3/2005,Delhi,Delhi,,Residential and others,8.0,42.0,90.0,218.0,Ashok Vihar,,2005-03-01
56,1/2/2004,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",,,198.5,324.0,"Ashok Vihar, Delhi",,2004-02-01
,1/4/2005,Uttar Pradesh,Ghaziabad,,Industrial Areas,23.0,26.8,325.0,840.0,Atlas Cycles Ltd,,2005-04-01
84.0,1/2/2010,Madhya Pradesh,Nagda,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",14.5,23.0,89.0,127.0,"B C I Labour Club, Nagda",,2010-02-01
,1/5/2005,Gujarat,Surat,,Industrial Areas,18.6,30.6,131.0,180.0,B.R.C. High School,,2005-05-01
22,1/7/2004,Gujarat,Surat,Gujarat State Pollution Control Board,Industrial Area,20.0,33.0,133.0,164.0,"B.R.C. High School, Udhna, Surat",,2004-07-01
,5/10/2006,Assam,Bongaigaon,,Residential and others,19.1,19.1,97.0,106.0,B.R.P.L.,,2006-10-05
,4/2/2005,Madhya Pradesh,Nagda,,Residential and others,18.0,36.0,116.0,160.0,BCI Labour Club,,2005-02-04
,2/2/2005,Jharkhand,Sindri,,Industrial Areas,20.8,52.1,112.0,211.0,BIT,,2005-02-02
,7/1/2005,Delhi,Delhi,,Residential and others,8.0,74.0,126.0,346.0,BSZ Marg,,2005-01-07
,1/3/2006,West Bengal,Kolkata,,Residential and others,12.3,79.9,176.0,307.0,Baishnabghata,,2006-03-01
,1/3/2005,Maharashtra,Thane,,Industrial Areas,9.0,15.0,50.0,87.0,Balkum/Kolshet,,2005-03-01
305.0,1/5/2004,Maharashtra,Thane,Thane Municipal Corporation,Industrial Area,11.0,21.2,,50.3,"Balkum/Kolshet,Thane West",,2004-05-01
196,1/6/2004,Haryana,Yamuna Nagar,Haryana State Pollution Control Board,Industrial Area,28.0,18.2,48.0,112.0,"Ballarpur Industries, Yamunanagar",,2004-06-01
,7/3/2005,West Bengal,Howrah,,Industrial Areas,6.9,63.7,43.0,84.0,Bandhaghat,,2005-03-07
9,1/2/2004,West Bengal,Howrah,West Bengal State Pollution Control Board,Industrial Area,,68.6,185.3,262.0,"Bandhaghat, Howrah",,2004-02-01
,8/2/2005,Nagaland,Dimapur,,Residential and others,,,20.0,57.0,Bank Colony,,2005-02-08
317.0,1/12/2010,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",2.0,10.0,87.0,165.0,"Bank Colony,Dimapur,Nagaland",,2010-12-01
169.0,1/1/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,141.0,"Bank of India, Kalbadevi Branch, Kalbadevi, Mumbai",,2004-01-01
,1/3/2005,Rajasthan,Jodhpur,,Industrial Areas,7.2,19.2,123.0,345.0,Basni Indl. Area,,2005-03-01
274.0,1/1/2004,Rajasthan,Jodhpur,Rajasthan State Pollution Control Board,Industrial Area,7.0,16.0,119.0,293.0,"Basni Industrial Area, RIICO Office, Jodhpur",,2004-01-01
,7/3/2005,West Bengal,Howrah,,Residential and others,5.9,65.5,52.0,73.0,Bator,,2005-03-07
11,1/2/2004,West Bengal,Howrah,West Bengal State Pollution Control Board,"Residential, Rural and other Areas",,96.1,248.7,364.0,"Bator, Howrah",,2004-02-01
452.0,02-01-15,Mizoram,Aizawl,Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2.0,6.0,23.0,,"Bawngkawn , Roof Top of Mr.K.L. Beremas residence.",,2015-01-02
178.0,1/3/2004,Punjab,Jalandhar,Punjab Pollution Control Board,Industrial Area,7.0,18.0,197.0,,Beat all Sports,,2004-03-01
,1/2/2006,West Bengal,Kolkata,,Industrial Areas,20.0,122.9,204.0,363.0,Behala Chowrasta,,2006-02-01
,6/7/2006,Gujarat,Ahmedabad,,Residential and others,8.5,21.1,104.0,244.0,Behrampura,,2006-07-06
210.0,1/1/2004,Bihar,Patna,Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",14.0,31.0,79.0,127.0,"Beltron Bhawan, Shastri Nagar, Patna",,2004-01-01
,10/3/2005,Punjab,Ludhiana,,Residential and others,14.0,30.0,120.0,,Bharat Nagar Chowk,,2005-03-10
,3/2/2005,Maharashtra,Pune,,Industrial Areas,21.0,27.0,110.0,181.0,Bhosari,,2005-02-03
312.0,1/3/2004,Maharashtra,Pune,University of Pune,Industrial Area,29.0,48.0,161.0,276.0,"Bhosari, Pune",,2004-03-01
,12/5/2005,Maharashtra,Aurangabad (MS),,Sensitive Areas,11.3,21.3,,,Bibi-Ka-Maqbara,,2005-05-12
,1/3/2005,Jharkhand,Jamshedpur,,Industrial Areas,47.0,57.0,150.0,308.0,Bistupur Vehicle  TC,,2005-03-01
,1/3/2006,Meghalaya,Shillong,,Residential and others,3.0,,50.0,66.0,Boards Office,,2006-03-01
,1/3/2005,Uttar Pradesh,Ghaziabad,,Industrial Areas,11.0,17.8,365.0,790.0,Bulandshahar R.I.A.,,2005-03-01
,7/7/2005,Himachal Pradesh,Shimla,,Residential and others,,,7.0,15.0,Bus Stand,,2005-07-07
35,1/1/2004,Himachal Pradesh,Shimla,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",6.0,22.0,,38.0,"Bus Stand, Winterfield, Simla",,2004-01-01
,6/3/2005,Uttar Pradesh,Firozabad,,Industrial Areas,18.0,43.0,178.0,684.0,CDGI,,2005-03-06
164,1/1/2004,West Bengal,Calcutta,NEER,"Residential, Rural and other Areas",34.0,110.8,352.0,185.0,"CESE, Mandevitle Garden (Gariahat)",,2004-01-01
,1/4/2005,Gujarat,Vadodara,,Industrial Areas,18.0,28.1,187.0,418.0,CETP,,2005-04-01
,1/1/2007,Kerala,Kochi,,Residential and others,,6.5,109.0,143.0,CSIR Complex,,2007-01-01
,10/1/2009,Andhra Pradesh,Visakhapatnam,,Industrial Areas,4.6,22.0,29.0,80.0,"CWMP, RAMKY",,2009-01-10
,1/5/2005,Gujarat,Ahmedabad,,Industrial Areas,17.8,27.7,197.0,355.0,Cadilla Bridge Narol,,2005-05-01
102,1/6/2010,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12.0,18.0,72.0,,"Cadilla Bridge Narol, Ahmadabad",,2010-06-01
,19-01-07,Assam,Bongaigaon,,Residential and others,3.5,11.6,156.0,281.0,Campus of Oil India,,2007-01-19
,6/2/2005,Kerala,Palakkad,,Industrial Areas,,,147.0,181.0,Carboradum U Ltd.,,2005-02-06
,12/5/2006,Kerala,Palakkad,,Industrial Areas,,,150.0,186.0,Carboradum/SEPR,,2006-05-12
,1/2/2006,Himachal Pradesh,Parwanoo,,Residential and others,2.5,11.7,86.0,206.0,Central Laboratory,,2006-02-01
,4/1/2006,Maharashtra,Lote,,Residential and others,51.5,,55.0,72.0,Chalke Wadi,,2006-01-04
,1/3/2005,Puducherry,Pondicherry,,Residential and others,16.4,9.7,30.0,53.0,Chamber of Commerce,,2005-03-01
,1/3/2005,Uttar Pradesh,Lucknow,,Residential and others,19.0,38.0,,541.0,Chandganj  Nagar,,2005-03-01
,1/3/2005,Rajasthan,Jaipur,,Residential and others,7.4,32.1,132.0,382.0,Chandpole,,2005-03-01
,4/4/2005,Madhya Pradesh,Nagda,,Industrial Areas,35.0,22.0,103.0,145.0,Chem. D. Labour Club,,2005-04-04
82.0,1/1/2011,Madhya Pradesh,Nagda,Madhya Pradesh State Pollution Control Board,Industrial Area,19.3,26.7,97.0,157.0,"Chemical Division Labour Club, Nagda",,2011-01-01
,12/6/2007,Dadra & Nagar Haveli,Silvassa,,Residential and others,10.5,18.6,68.0,160.0,Chetan Guest House,,2007-06-12
,1/1/2005,Maharashtra,Solapur,,Residential and others,21.0,40.0,154.0,386.0,Chitale Clinic,,2005-01-01
300.0,1/2/2004,Maharashtra,Solapur,"Walchand Institute of Technology, Solapur","Residential, Rural and other Areas",21.0,47.0,140.0,349.0,"Chitale Clinic, Solapur",,2004-02-01
,18/04/2006,Odisha,Talcher,,Industrial Areas,13.7,21.7,53.0,95.0,Coal Field Area,,2006-04-18
260.0,1/1/2004,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10.2,54.0,69.0,199.0,Coimbatore,,2004-01-01
,1/4/2005,West Bengal,Kolkata,,Industrial Areas,15.9,81.8,192.0,346.0,Cossipore Police Stn,,2005-04-01
,6/11/2005,Delhi,Delhi,,Residential and others,12.3,28.2,,,DCE,,2005-11-06
,1/1/2005,Rajasthan,Jodhpur,,Industrial Areas,7.8,19.5,126.0,300.0,DIC,,2005-01-01
,2/7/2005,Uttar Pradesh,Agra,,Sensitive Areas,8.0,27.0,182.0,507.0,"DIC, Nunhai",,2005-07-02
,4/11/2006,Puducherry,Pondicherry,,Residential and others,3.1,9.7,40.0,73.0,DSTC Office,,2006-11-04
,1/1/2005,Puducherry,Pondicherry,,Residential and others,18.2,14.7,47.0,72.0,DSTC Office Upstairs,,2005-01-01
,1/3/2005,Uttar Pradesh,Kanpur,,Residential and others,12.6,18.0,216.0,248.0,Dabauli,,2005-03-01
SAMP,02-01-15,Gujarat,Bharuch,Gujarat State Pollution Control Board,RIRUO,13.0,21.0,87.0,,"Dahez SEZ Part II Office,Bharuch",33.0,2015-01-02
,1/3/2005,Gujarat,Vadodara,,Residential and others,15.7,24.8,179.0,393.0,Dandia Bazar,,2005-03-01
,1/4/2005,Uttar Pradesh,Kanpur,,Residential and others,10.5,12.9,170.0,255.0,Deputy Ka Parao,,2005-04-01
98.0,1/2/2004,Uttar Pradesh,Kanpur,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10.0,12.0,173.0,306.0,"Deputy Ka Parao, Kanpur",,2004-02-01
,6/7/2006,Madhya Pradesh,Dewas,,Residential and others,18.3,39.8,46.0,192.0,Dewas Metal Section,,2006-07-06
,12/3/2005,Nagaland,Dimapur,,Residential and others,,9.9,94.0,179.0,Dhobinala,,2005-03-12
,8/3/2005,Tamil Nadu,Coimbatore,,Residential and others,8.3,24.9,25.0,65.0,Dist. Coll. Office,,2005-03-08
,16/5/2006,Madhya Pradesh,Ujjain,,Industrial Areas,12.8,12.2,39.0,98.0,District Office,,2006-05-16
238.0,1/3/2004,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",12.4,45.0,45.0,168.0,"Distt. Collector's Office, Coimbatore",,2004-03-01
265.0,6/1/2012,Maharashtra,Dombivli,Maharashtra State Pollution Control Board,Industrial Area,65.0,194.0,265.0,,Dombivali MIDC Phase-II,,2012-01-06
,1/1/2006,West Bengal,Kolkata,,Industrial Areas,19.2,96.6,279.0,452.0,Dunlop Bridge,,2006-01-01
,1/4/2005,Gujarat,Anklesvar,,Residential and others,18.4,28.8,144.0,194.0,Durga Traders,,2005-04-01
253,1/5/2010,Gujarat,Ankleshwar,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",18.0,27.0,72.0,,"Durga Traders, Bhavanafarm Society , Ankaleshwar",,2010-05-01
,1/4/2005,Goa,Vasco,,Industrial Areas,9.3,31.2,91.0,241.0,Electricity Deptt.,,2005-04-01
29.0,1/3/2010,Kerala,Kochi,Kerala State Pollution Control Board,Industrial Area,2.35,12.48333333,33.33333333,,"Eloor, Kochi",,2010-03-01
,5/2/2005,Kerala,Kochi,,Residential and others,,,66.0,100.0,Ernakulum South,,2005-02-05
,1/1/2007,Kerala,Kochi,,Industrial Areas,2.4,10.0,100.0,122.0,FACT Udyogmandal,,2007-01-01
149.0,1/3/2010,Kerala,Kochi,National Environmental Engineering Research Institute,Industrial Area,2.0,8.0,37.0,,"FACT Udyogmandal, Ambalamughal, Kochi",,2010-03-01
,6/4/2008,Kerala,Kochi,,Residential and others,4.0,,17.0,27.0,"FCI, OEN C. O. Bldg",,2008-04-06
,1/1/2005,Uttar Pradesh,Kanpur,,Industrial Areas,11.5,16.6,221.0,461.0,Fazal Ganj,,2005-01-01
307.0,1/2/2010,Tamil Nadu,Madurai,Tamilnadu State Pollution Control Board,Industrial Area,8.25,25.35,29.33333333,60.33333333,"Fenner (I) Ltd. Employees Assiciation Building Kochadai, Madurai",,2010-02-01
,8/2/2005,Tamil Nadu,Madurai,,Industrial Areas,24.8,37.3,16.0,67.0,Fenners (I) Ltd.,,2005-02-08
,29-04-05,Assam,Guwahati,,Residential and others,4.0,9.0,113.0,180.0,Fire Brigade Station,,2005-04-29
SAMP,08-01-15,Gujarat,MORBI,Gujarat State Pollution Control Board,RIRUO,13.0,20.0,87.0,,"Fire Brigade station,MORBI",29.0,2015-01-08
,8/1/2005,Tamil Nadu,Thoothukudi,,Residential and others,19.5,13.5,41.0,46.0,Fisheries College,,2005-01-08
239.0,1/4/2010,Tamil Nadu,Thoothukudi,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",20.25,8.133333333,90.0,104.0,"Fisheries College, Tuticorin",,2010-04-01
,1/3/2005,Gujarat,Jamnagar,,Residential and others,9.6,24.6,149.0,250.0,Fisheries Office,,2005-03-01
319,1/1/2004,Gujarat,Jamnagar,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",9.1,23.1,124.0,16.09,"Fisheries Office, Jamnagar.",,2004-01-01
,1/1/2005,Punjab,Jalandhar,,Industrial Areas,,,182.0,,Focal Point,,2005-01-01
